title,popularity,year
Shrek,17.987728,2001
Their Finest,17.958512,2017
Identity,17.955897,2003
School of Rock,17.95142,2003
The Curious Case of Benjamin Button,17.934821,2008
Heat,17.924927,1995
xXx: Return of Xander Cage,17.918269,2017
Rear Window,17.911314,1954
The Judge,17.887943,2014
3 Days to Kill,17.861119,2014
Michael Jackson's Thriller,17.85649,1983
Now You See Me,17.852022,2013
Mission: Impossible - Rogue Nation,17.836882,2015
Life of Crime,17.788579,2013
Planet of the Apes,17.784978,1968
Operation Chromite,17.767346,2016
The Nightmare Before Christmas,17.730913,1993
A Man Apart,17.714247,2003
Dogtooth,17.713581,2009
Legend of the Guardians: The Owls of Ga'Hoole,17.674048,2010
28 Days Later,17.656951,2002
Anna and the King,17.65016,1999
T2 Trainspotting,17.645877,2017
Independence Day,17.634197,1996
Kung Fu Yoga,17.630487,2017
The Equalizer,17.618057,2014
Edward Scissorhands,17.612244,1990
Child 44,17.608346,2015
Sinister 2,17.602928,2015
The Great Gatsby,17.598936,2013
Sausage Party,17.56963,2016
Addams Family Values,17.555909,1993
Toy Story 2,17.547693,1999
The Founder,17.523343,2016
Showgirls,17.502375,1995
The Little Mermaid,17.496832,1989
The Jungle Book,17.432758,2016
Wild Orchid,17.395203,1989
"See No Evil, Hear No Evil",17.367336,1989
Saw VI,17.360894,2009
Ice Age,17.328902,2002
Planet of the Apes,17.319836,2001
Trainwreck,17.310647,2015
Alice in Wonderland,17.285093,2010
Kick-Ass,17.26045,2010
The Huntsman: Winter's War,17.260203,2016
Insidious,17.24814,2010
Fantastic Four,17.246484,2015
Amateur Night,17.208064,2016
Holes,17.193267,2003
True Romance,17.189328,1993
A Most Violent Year,17.187708,2014
The Godfather: Part III,17.185349,1990
Two Is a Family,17.181564,2016
Princess Mononoke,17.166725,1997
Ghostbusters,17.162744,2016
Tomorrow Never Dies,17.159576,1997
Robin Hood: Men in Tights,17.136672,1993
Alien³,17.126768,1992
A Clockwork Orange,17.112594,1971
Teen Titans: The Judas Contract,17.086618,2017
Lion,17.085145,2016
The Lego Batman Movie,17.070748,2017
Blade II,17.05064,2002
When the Bough Breaks,17.046052,2016
Batman & Robin,17.038824,1997
Mine,17.029573,2016
The Boy,17.028854,2016
Paul Blart: Mall Cop 2,17.02038,2015
Jumanji,17.015539,1995
Independence Day: Resurgence,16.993841,2016
The Social Network,16.972995,2010
Smurfs: The Lost Village,16.972835,2017
Toy Story 3,16.96647,2010
The Mummy Returns,16.945657,2001
The Prestige,16.94556,2006
Danny Collins,16.903373,2015
Kung Fu Panda,16.897541,2008
Inglourious Basterds,16.89564,2009
Waterworld,16.885184,1995
