actor,return
Eric Christmas,8.62435098605488
John Dennis Johnston,8.619669916666666
Denholm Elliott,8.61268674729686
Judge Reinhold,8.610828546797869
George Martin,8.606012632621951
Sergei Bezrukov,8.59519752
Pat Flaherty,8.593530357142857
John Hannah,8.570288342466293
Mac McDonald,8.56887958496732
Thomas Ian Nicholas,8.559584239449885
Frank Baker,8.554675666666666
Kerry O'Malley,8.55129034126076
Harry Lloyd,8.545634433333333
Harry Northup,8.524537699117673
Simon Chandler,8.522417334761904
Ralph Waite,8.496351363492064
Matthew Kimbrough,8.49124948525641
Sasha Barrese,8.486421556944268
Jackie Chan,8.477838249342033
Ellen Burstyn,8.459522047853905
Gilbert Gottfried,8.455761414285714
Audrey Tautou,8.453312023999999
Nat Wolff,8.440675714542124
Mickey Jones,8.438617199145298
Jackson Rathbone,8.430952783666314
Steven Weber,8.417210479166666
James Bulleit,8.41489388736682
Lawrence Tierney,8.406914078571429
Clint Eastwood,8.395841079597265
Wendie Jo Sperber,8.371224045567043
Lee Kyoung-young,8.36223521648409
Bronagh Gallagher,8.353559489750596
Esai Morales,8.340833230769231
Claire Bloom,8.326130362993421
Adrienne Barbeau,8.322363114825219
Eric Stoltz,8.298741816617827
Walter Scott,8.29220025279107
Hill Harper,8.290598597380951
Chris Miller,8.288847507864844
Harold Gould,8.286074257909576
Chris Owen,8.28278064506734
M. Night Shyamalan,8.282057935486112
Sanjeev Bhaskar,8.280132601190475
Larry Joshua,8.270272050095612
Chris Isaak,8.251783165789472
Jerry Orbach,8.250459749345604
Pat Roach,8.243131307787698
Whip Hubley,8.233343403087265
Cedric Hardwicke,8.21923076923077
River Phoenix,8.207253020833333
Olivier Rabourdin,8.206310614722222
Mike Henry,8.200899630541873
Bruce Campbell,8.186430290283646
Peter Lorre,8.18542900531511
Darshan Jariwala,8.185314561942063
Michael Talbott,8.170755825694444
Richard Dixon,8.168038315514924
Nikki Reed,8.166473693666314
Donald Glover,8.161157352568283
Christopher Britton,8.140135658166667
Valerie Tian,8.139215078685805
Julia Jones,8.135215982610461
Kenneth McMillan,8.133349127777779
Debbie Lee Carrington,8.128150660768636
Steve James,8.118212379464286
Anthony Wong,8.115125136781609
Luke Grimes,8.109708786176046
Dempsey Pappion,8.104721278571429
Harvey Fierstein,8.102190225972222
John Noble,8.09926330223539
John Carradine,8.087934042124543
Jerry Reed,8.086593304347826
Bill McKinney,8.074131796738621
Burghart Klaußner,8.069109393055555
Cary Elwes,8.054714294742237
Olivia Thirlby,8.04939604
Oliver Stone,8.047967971975392
Matthew Beard,8.040475457142856
Frank Wilcox,8.01430300952381
Annabelle Wallis,7.986392441591575
Tony Nappo,7.9846637140849674
Vincent Gardenia,7.970827090151515
Spencer Tracy,7.9609929355791955
Patrick Macnee,7.958860644444445
Roger Corman,7.954412453961828
Leslie Nielsen,7.952628553120256
Harriet Medin,7.940931818181818
Kathy Griffin,7.933777237208252
Jared Rushton,7.932956668273931
Craig Roberts,7.9327871666666665
Chris Rankin,7.928972090564102
Amy Aquino,7.910732470634922
Terry Walters,7.904315228070176
Franklyn Farnum,7.9
William Meader,7.9
Christopher Fulford,7.89622525
Dennis Dugan,7.886536742592593
Adrian Scarborough,7.88119404639841
Roger Moore,7.872942364109391
Patrick Wilson,7.8714080124339905
Amrish Puri,7.865923397311022
Carey Lowell,7.863916371279762
Jer O'Leary,7.858282131488478
Frank Sinatra,7.84941436853355
Linda Harrison,7.844963867241379
Jack Hawkins,7.842119666666666
Robin Atkin Downes,7.8392547402690225
Anupam Kher,7.8148009022537375
Tara Subkoff,7.813229482462122
Molly Cheek,7.8077476828535355
Richard Kiley,7.800585627420634
Henry Wilcoxon,7.791499012454213
Cortney Palm,7.762533283333333
Stuart Pankin,7.757220603311827
Miranda Cosgrove,7.750513921212814
Kevin Smith,7.749863463487091
Richard Tyson,7.739736175677061
Brandon Beach,7.7260024651403185
James Tolkan,7.720878129906794
Martin Balsam,7.718501706529594
John Travolta,7.705028505050396
Yaphet Kotto,7.702588446253006
Red Buttons,7.700208073333333
Max Greenfield,7.6995343825396825
Philip Ettington,7.697870182446808
Max Wagner,7.6824615000000005
Sylvia Miles,7.68174855
Ken Hudson Campbell,7.676288958530115
Wayne Grace,7.670525107425713
Joel McCrary,7.669926561565736
Ralph Moratz,7.666666666666667
Tom Skerritt,7.664651852049062
Harry Wilson,7.656324281538648
Chris Mulkey,7.647108600728896
Stuart McQuarrie,7.64409325
Geoffrey Holder,7.635880581714287
Tom Atkins,7.635593770714286
Omar Sy,7.628965846247086
Geoffrey Keen,7.607758910272291
Jessica Tandy,7.606903058385536
Jesús Ochoa,7.60133722638528
Catherine Reitman,7.5927210414247
Kasi Lemmons,7.591752562378168
Sam Anderson,7.590898864405536
Daniel Franzese,7.590757117647059
Jesse Corti,7.585993148856447
Bradley Whitford,7.583741433146382
Phil LaMarr,7.5714559496666665
Richard Lynch,7.563058391666667
Tom Goodman-Hill,7.5598352543456535
John Ritter,7.556513727391304
Ruth White,7.554119452380952
Ted White,7.549579760839161
Chris Wedge,7.547020737758944
Tony Hawk,7.5312029438636365
Stefan Gierasch,7.52682685936286
Nawazuddin Siddiqui,7.525586440540541
Vidya Balan,7.520218987184273
Jeffrey Sayre,7.517040333333334
Walter Brennan,7.510197023809524
Kate Ashfield,7.509848
Chris Klein,7.495310360969697
Clifton James,7.484987178279211
Dominic Chianese,7.484606674889316
Paul Benedict,7.479326625000001
Burt Lancaster,7.4736882169696965
James Ransone,7.469271951111111
Susan Barnes,7.466918416666666
Emilio Fernández,7.457103871137466
John Heard,7.455621244696204
Linda Hamilton,7.4500093575862065
Jim Ward,7.44600659092612
Daniel Stern,7.442037211659402
François Cluzet,7.433780325120495
Richard Lawson,7.432726082554517
Jill Clayburgh,7.425433461614926
Julie Walters,7.425368039488509
Brenda Wehle,7.422993333974359
Rick Aviles,7.422885216414141
Tara Reid,7.419790384891775
Matthew Wood,7.414670747545457
Kim Cattrall,7.399361987866884
Fyodor Bondarchuk,7.397489906993511
Claude Rains,7.397170916486333
Cliff Lyons,7.3966666666666665
Alan Napier,7.394117666666666
David Bamber,7.391737348000001
Richard Fitzpatrick,7.383309073295455
Ola Ray,7.383191611695906
Jonathan Banks,7.382069269631936
Howie Mandel,7.373144888181818
Jane Seymour,7.364903794999999
John Lynch,7.363981871794872
E.G. Daily,7.3616263584873725
Leon Robinson,7.352301542857143
Nigel Davenport,7.32421625034965
Marvin J. McIntyre,7.322026196604938
Tony Lo Bianco,7.30884363379798
Costas Mandylor,7.307264697050309
Piper Laurie,7.3029481837037045
Louise Fletcher,7.298154060714286
Billy Boyd,7.296065582889621
Albert Popwell,7.2938752992424245
Oliver Ford Davies,7.28828469789138
Anne Archer,7.2838679299923195
Ken Davitian,7.283118010069444
Douglas Smith,7.2760242086966
Geraldine McEwan,7.275192075
Michael Palin,7.272296627777777
Judith Hoag,7.269510249559083
Telly Savalas,7.258005333475784
Jennifer Saunders,7.254589485297298
Keye Luke,7.2487632587878785
Paul Feig,7.24601977948718
June Christopher,7.245460088078431
Danny Goldring,7.243507941921922
Gil Birmingham,7.209115654151993
Julie Andrews,7.205832213182687
Eddie Albert,7.192515672413793
Rory Kinnear,7.187599878061224
